competition,result,wind,round,finish,athlete_id,tournament_id,grade,established_date,information,condition,official
man_LJ,6.91,1.8,記録会,"",7,1,,1998-04-01,,,true
man_TJ,14.16,-0.2,,"",7,2,,1998-05-17,,,true
man_SP,10.74,"",決勝,"",29,23,,2002-08-10,,,true
man_SP,10.58,"",決勝,"",29,41,,2003-08-09,,,true
man_SP,7.25,"",決勝,"",30,41,,2003-08-09,,,true
man_JT,37.9,"",決勝,"",29,41,,2003-08-09,,,true
man_JT,30.07,"",決勝,"",30,41,,2003-08-09,,,true
man_SP,8.16,"",決勝,"",38,104,,2006-06-17,,全体1位、タイムレース,true
man_JT,30.21,"",決勝,"",38,109,,2006-09-09,,,true
man_SP,7.99,"",決勝,"",38,109,,2006-09-09,,,true
man_SP,6.49,"",決勝,"",38,110,,2006-09-29,,,true
man_JT,38.54,"",決勝,"",38,110,,2006-09-29,,,true
man_SP,8.74,"",,"",38,113,,2006-10-28,,,true
man_LJ,6.05,-0.4,男子十種競技,"",33,113,,2006-10-28,,,true
man_SP,5.99,"",男子十種競技,"",33,113,,2006-10-28,,,true
man_HJ,1.8,"",男子十種競技,"",33,113,,2006-10-28,,,true
man_JT,31.3,"",,"",38,113,,2006-10-28,,,true
man_DT,14.48,"",男子十種競技,"",33,113,,2006-10-28,,,true
man_PJ,2.6,"",男子十種競技,"",33,113,,2006-10-28,,,true
man_JT,21.91,"",男子十種競技,"",33,113,,2006-10-28,,,true
man_SP,8.93,"",決勝,"",38,124,,2007-05-26,,,true
man_DT,22.96,"",決勝,"",38,124,,2007-05-26,,,true
man_JT,37.99,"",決勝,"",38,124,,2007-05-26,,,true
man_JT,38.16,"",,"",116,119,,2007-04-15,,,true
man_SP,8.68,"",決勝,5,38,128,,2007-06-30,,,true
man_DT,21.46,"",決勝,6,38,128,,2007-06-30,,,true
man_JT,40.89,"",決勝,8,116,128,,2007-06-30,,,true
man_JT,41.2,"",決勝,6,38,128,,2007-06-30,,,true
woman_JT,31.26,"",OP,"",143,128,,2007-06-30,,,true
man_DT,21.3,"",決勝,"",38,131,,2007-09-08,,,true
man_JT,40.46,"",決勝,"",38,131,,2007-09-08,,,true
man_JT,39.07,"",決勝,"",116,131,,2007-09-08,,,true
woman_HJ,1.65,"",,"",143,132,,2007-09-08,,,true
man_SP,8.63,"",決勝,"",38,131,,2007-09-08,,,true
man_JT,41.08,"",決勝,"",116,133,,2007-09-28,,,true
man_JT,"","",決勝,"",38,133,,2007-09-28,,,true
man_SP,9.07,"",決勝,"",38,133,,2007-09-28,,,true
man_DT,20.67,"",決勝,"",38,133,,2007-09-28,,,true
man_LJ,5.58,1.7,,5,61,137,,2007-10-27,,,true
man_LJ,5.31,1.8,,7,116,137,,2007-10-27,,,true
man_LJ,6.1,0.8,,4,60,137,,2007-10-27,,,true
man_SP,10.3,"",,7,38,137,,2007-10-27,,,true
man_JT,37.16,"",,7,116,137,,2007-10-27,,,true
man_JT,42.37,"",,4,38,137,,2007-10-27,,,true
woman_HJ,1.61,"",,"",143,144,,2008-03-22,,,true
man_SP,9.53,"",,"",38,145,m1,2008-03-22,,,true
man_JT,36.84,"",,"",38,145,m1,2008-03-22,,,true
woman_HJ,1.63,"",,"",143,147,,2008-04-13,,,true
man_JT,39.38,"",,"",116,148,,2008-04-20,,,true
man_JT,43.76,"",,"",38,148,,2008-04-20,PB,,true
man_JT,46.89,"",,11,38,149,,2008-05-03,PB,,true
man_JT,33.16,"",,23,116,149,,2008-05-03,,,true
woman_HJ,1.65,"",,"",143,150,,2008-05-04,,,true
woman_HJ,1.65,"",,"",143,154,,2008-05-17,,,true
man_LJ,5.6,0.1,決勝,"",58,155,,2008-05-31,PB,,true
man_JT,32.48,"",決勝,"",116,155,,2008-05-31,,,true
man_JT,39.81,"",決勝,"",38,155,,2008-05-31,,,true
man_SP,9.61,"",決勝,"",38,155,,2008-05-31,,,true
man_DT,21.72,"",決勝,"",38,155,,2008-05-31,,,true
woman_HJ,1.6,"",OP,"",143,155,,2008-05-31,,,true
woman_HJ,1.69,"",決勝,"",143,158,,2008-06-08,,,true
woman_HJ,1.66,"",,"",143,162,,2008-08-09,,,true
woman_HJ,1.6,"",,"",143,163,,2008-08-24,,,true
woman_HJ,1.65,"",,"",143,166,,2008-09-07,,,true
man_JT,42.59,"",決勝,"",116,168,,2008-09-26,PB,,true
man_JT,"","",決勝,"",38,168,,2008-09-26,,,true
man_HJ,"","",決勝,"",63,168,,2008-09-26,NM,,true
woman_HJ,1.6,"",,"",143,170,,2008-09-28,,,true
woman_SP,8.05,"",,"",143,172,,2008-10-05,,優勝,true
woman_HJ,1.6,"",,"",143,172,,2008-10-05,,優勝,true
man_SP,7.24,"",記録会,"",61,173,,2008-10-09,,,true
man_SP,6.83,"",,15,63,174,,2008-10-19,,,true
man_SP,6.55,"",,19,60,174,,2008-10-19,,,true
man_SP,7.54,"",,8,116,174,,2008-10-19,,,true
man_SP,6.02,"",,20,58,174,,2008-10-19,,,true
man_SP,7.24,"",,13,61,174,,2008-10-19,,,true
man_LJ,5.59,2.2,,16,63,174,,2008-10-19,,総合1462点、5.34(+1.0),false
man_LJ,5.79,0.3,,13,116,174,,2008-10-19,PB,総合1763点,true
man_LJ,5.17,2.3,,19,61,174,,2008-10-19,,総合1568点、5.15(+1.1),false
man_LJ,5.53,2.2,,17,58,174,,2008-10-19,,総合1443点、4.79(+0.9),false
man_JT,39.68,"",,"",116,176,,2008-11-08,,,true
man_LJ,4.93,2.0,十種競技,"",38,176,,2008-11-08,,十種スコア369,true
man_SP,9.32,"",十種競技,"",38,176,,2008-11-08,,十種スコア445,true
man_HJ,1.3,"",十種競技,"",38,176,,2008-11-08,,十種スコア408,true
man_DT,21.7,"",十種競技,"",38,176,,2008-11-08,,十種スコア304,true
man_PJ,1.5,"",十種競技,"",38,176,,2008-11-08,,十種スコア54,true
man_JT,44.23,"",十種競技,"",38,176,,2008-11-08,,十種スコア504,true
man_HJ,1.6,"",,"",63,176,,2008-11-08,,,true
woman_HJ,1.61,"",,"",143,147,,2008-04-13,,,true
woman_HJ,1.61,"",,"",143,147,,2008-04-13,,,true
man_JT,40.17,"",,"",116,189,,2009-05-03,,,true
man_JT,40.17,"",,"",116,189,b3,2009-05-03,,,true
woman_HJ,1.6,"",,"",143,190,,2009-05-04,,,true
man_JT,42.25,"",決勝,"",116,193,b3,2009-05-31,,8位,true
man_JT,40.88,"",OP,"",38,193,,2009-05-31,,,true
woman_HJ,1.6,"",,"",143,195,,2009-06-07,,2位,true
man_JT,43.09,"",決勝,"",116,196,b3,2009-06-28,,5位,true
woman_HJ,1.6,"",,"",143,198,,2009-08-01,,,true
woman_LJ,4.88,"",,"",143,198,,2009-08-01,,,true
woman_HJ,1.55,"",,"",143,199,,2009-08-23,,,true
woman_HJ,1.63,"",,"",143,200,,2009-08-29,,,true
man_JT,37.42,"",決勝,"",116,201,b3,2009-09-12,,5位,true
man_JT,39.79,"",決勝,"",116,202,,2009-09-19,,,true
woman_HJ,1.6,"",,"",143,170,,2008-09-28,,,true
woman_HJ,1.6,"",,"",143,203,,2009-10-12,,,true
man_JT,42.16,"",,"",116,206,b3,2009-10-31,,,true
man_TJ,13.08,"",記録会,"",144,224,,2010-05-03,,,true
man_LJ,6.68,2.9,記録会,"",144,224,,2010-05-03,,,false
man_TJ,"","",,"",144,225,,2010-05-15,DNF,,true
man_LJ,6.53,0.5,,"",144,225,,2010-05-15,,,true
man_JT,40.52,"",,"",116,155,,2008-05-31,,,true
man_LJ,5.55,2.2,,"",80,155,,2008-05-31,,,false
man_LJ,5.98,2.5,,"",118,155,,2008-05-31,,,false
man_LJ,6.82,1.8,,"",144,155,,2008-05-31,,,true
man_TJ,12.99,1.7,,"",79,155,,2008-05-31,,,true
man_TJ,13.66,0.8,,"",144,155,,2008-05-31,,,true
man_JT,41.18,"",,"",116,229,,2010-07-11,,,true
man_LJ,5.97,0.2,,"",118,229,,2010-07-11,,,true
man_TJ,13.07,0.8,,"",79,229,,2010-07-11,,,true
man_LJ,5.59,1.2,,"",80,230,,2010-09-11,,,true
man_LJ,5.98,-0.8,,"",79,230,,2010-09-11,,,true
man_LJ,5.83,"",,"",118,230,,2010-09-11,,,true
man_TJ,13.04,1.5,,"",79,230,,2010-09-11,,,true
man_LJ,6.05,0.6,,"",79,231,,2010-09-24,PB,5傑記録更新,true
man_LJ,5.35,0.8,,"",80,231,,2010-09-24,,,true
man_TJ,12.38,1.6,,"",79,231,,2010-09-24,,,true
man_LJ,5.81,0.8,,"",116,233,,2010-10-17,PB,5傑記録更新！,true
man_JT,43.68,"",,"",116,233,,2010-10-17,PB,5傑記録更新！,true
man_LJ,5.72,0.3,ﾍﾞｰｼｯｸ三種競技,"",79,236,,2010-10-24,,,true
man_LJ,4.64,1.6,ﾍﾞｰｼｯｸ三種競技,"",118,236,,2010-10-24,,,true
man_SP,6.0,"",ﾍﾞｰｼｯｸ三種競技,"",79,236,,2010-10-24,,,true
man_SP,6.08,"",ﾍﾞｰｼｯｸ三種競技,"",118,236,,2010-10-24,,,true
man_SP,7.64,"",十種競技,"",116,239,,2010-11-06,PB,十種スコア345,true
man_HJ,1.7,"",,"",79,239,,2010-11-06,,,true
man_LJ,5.72,1.3,,"",79,239,,2010-11-06,,,true
man_LJ,5.8,0.8,,"",80,239,,2010-11-06,,PB,true
man_LJ,6.07,1.3,,"",118,239,,2010-11-06,,5傑入り!,true
man_LJ,5.87,1.4,,"",116,239,,2010-11-06,PB,十種スコア559,true
man_HJ,1.55,"",,"",116,239,,2010-11-06,,十種スコア426,true
man_PJ,2.0,"",,"",116,239,,2010-11-06,,十種スコア140,true
man_DT,24.25,"",,"",116,239,,2010-11-06,,十種スコア353、歴代1位,true
man_JT,41.68,"",,"",116,239,,2010-11-06,,十種スコア467,true
man_JT,41.94,"",記録会,"",38,247,ob,2011-03-30,,,true
man_JT,42.12,"",記録会,"",116,247,,2011-03-30,,,true
man_TJ,13.07,2.7,記録会,"",79,250,b2,2011-05-01,,,false
man_TJ,12.72,"",決勝,7,79,155,b2,2008-05-31,,,true
man_LJ,5.82,-0.7,決勝,9,79,155,b2,2008-05-31,,,true
man_LJ,"","",決勝,"",118,155,b2,2008-05-31,,,true
man_TJ,13.91,-0.4,記録会,4,79,254,b2,2011-06-25,PB,,true
man_HJ,1.75,"",記録会,9,79,254,b2,2011-06-25,,,true
man_LJ,6.11,0.6,記録会,15,118,254,b2,2011-06-25,,,true
man_TJ,14.11,"",記録会,9,79,117,b2,2007-03-30,,,true
man_LJ,5.91,-0.4,記録会,"",118,117,b2,2007-03-30,,,true
man_LJ,5.65,1.0,記録会,"",80,117,b2,2007-03-30,,,true
man_TJ,13.33,0.7,記録会,"",79,255,b2,2011-08-20,,,true
man_HJ,1.75,"",決勝,8,79,256,b2,2011-09-02,,,true
man_LJ,5.94,-1.2,決勝,"",118,256,b2,2011-09-02,,,true
man_TJ,13.59,5.0,決勝,4,79,256,b2,2011-09-02,,,false
man_TJ,14.03,0.9,決勝,"",79,257,b2,2011-09-17,,,true
man_LJ,6.04,1.8,決勝,"",118,257,b2,2011-09-17,,,true
man_TJ,13.84,0.9,記録会,"",79,253,b2,2011-06-25,,,true
man_TJ,"","",記録会,"",79,260,b2,2011-11-05,,,true
man_TJ,13.5,1.5,決勝,1,79,262,b2,2011-11-26,,,true
man_LJ,6.01,"",決勝,8,118,262,b1,2011-11-26,,,true
man_LJ,"","",決勝,"",80,262,b2,2011-11-26,,,true
man_TJ,13.4,1.4,記録会,"",79,267,b2,2012-03-22, ,,true
man_TJ,13.51,"",記録会,"",79,268,b2,2012-03-26,,,true
man_TJ,13.76,"",記録会,"",79,269,b3,2012-04-07,,,true
man_LJ,"","",記録会,"",118,271,b3,2012-04-28,,,true
man_TJ,14.24,1.5,記録会,"",79,271,b3,2012-04-28,PB,関カレ標準突破!!,true
man_TJ,"","",決勝,"",79,274,b3,2012-05-12,NM,,true
man_HJ,1.8,"",決勝,"",79,275,b3,2012-06-02,,,true
man_PJ,2.9,"",決勝,"",67,275,b1,2012-06-02,,,true
man_LJ,6.55,0.2,決勝,"",79,275,b3,2012-06-02,,,true
man_LJ,"","",決勝,"",118,275,b3,2012-06-02,DNS,,true
man_TJ,14.34,-0.1,決勝,"",79,275,b3,2012-06-02,,,true
woman_LJ,4.66,-1.4,決勝,"",85,275,b1,2012-06-02,,,true
man_HJ,"","",予選,"",79,276,b3,2012-06-16,,,true
man_LJ,6.47,"",予選,"",79,276,b3,2012-06-16,PB,,true
man_LJ,5.3,0.6,予選,"",80,276,b3,2012-06-16,DNS,,true
man_LJ,"","",予選,"",118,276,b3,2012-06-16,PB,,true
man_TJ,14.25,0.5,予選,"",79,276,b3,2012-06-16,,,true
woman_LJ,5.0,"",予選,"",85,276,b1,2012-06-16,DNS,,true
man_LJ,5.53,-0.2,記録会,"",118,138,b3,2007-11-11,,,true
man_TJ,14.55,1.6,記録会,"",79,138,b3,2007-11-11,,電通大記録更新,true
woman_LJ,4.85,0.4,記録会,"",85,138,b1,2007-11-11,,,true
man_TJ,14.46,0.8,記録会,"",79,146,b3,2008-03-27,,,true
man_LJ,6.6,1.2,決勝,"",79,281,b3,2012-08-28,PB,5傑更新,true
woman_LJ,5.04,1.4,決勝,"",85,281,b1,2012-08-28,PB,電通大記録更新,true
man_TJ,14.42,-1.0,決勝,"",79,281,b3,2012-08-28,,,true
woman_TJ,11.12,1.0,決勝,"",85,281,b1,2012-08-28,PB,電通大記録更新,true
man_PJ,4.1,"",決勝,"",67,282,d,2012-09-08,,電通大記録更新,true
man_LJ,6.66,2.6,決勝,"",79,282,b3,2012-09-08,,,false
woman_LJ,5.26,"",決勝,"",85,282,b1,2012-09-08,PB,電通大記録更新,true
woman_JT,12.87,"",決勝,"",72,282,b3,2012-09-08,PB,電通大記録更新,true
woman_JT,9.29,"",決勝,"",84,282,b1,2012-09-08,PB,5傑更新,true
man_HJ,"","",決勝,"",79,282,b3,2012-09-08,DNS,,true
man_TJ,14.59,3.1,決勝,"",79,282,b3,2012-09-08,,,false
woman_SP,5.69,"",決勝,"",72,282,b3,2012-09-08,,電通大記録更新,true
woman_SP,4.14,"",決勝,"",84,282,b1,2012-09-08,,5傑更新,true
man_TJ,"","",記録会,"",79,283,b3,2012-09-29,DNS,,true
woman_TJ,10.83,1.2,記録会,"",85,283,b1,2012-09-29,,,true
man_TJ,14.15,0.4,記録会,"",79,208,b3,2009-11-14,,,true
woman_TJ,11.12,0.7,記録会,"",85,208,b1,2009-11-14,,,true
man_LJ,"","",記録会,"",79,208,b3,2009-11-14,DNS,,true
woman_LJ,5.09,0.6,記録会,"",85,208,b1,2009-11-14,,,true
man_TJ,13.73,0.4,記録会,"",79,283,b3,2012-09-29,,,true
woman_TJ,10.92,-0.3,記録会,"",85,283,b1,2012-09-29,,,true
man_PJ,4.0,"",記録会,"",67,285,d,2012-10-27,,,true
man_LJ,6.12,0.8,ﾍﾞｰｼｯｸ三種競技,"",79,287,b3,2012-10-28,,,true
woman_LJ,3.17,1.1,ﾍﾞｰｼｯｸ三種競技,"",72,287,b3,2012-10-28,,5傑更新,true
woman_LJ,"","",ﾍﾞｰｼｯｸ三種競技,"",85,287,b1,2012-10-28,NM,,true
man_SP,6.32,"",ﾍﾞｰｼｯｸ三種競技,"",79,287,b3,2012-10-28,,,true
woman_SP,6.13,"",ﾍﾞｰｼｯｸ三種競技,"",72,287,b3,2012-10-28,,5傑更新,true
woman_SP,5.16,"",ﾍﾞｰｼｯｸ三種競技,"",85,287,b1,2012-10-28,,5傑更新,true
man_PJ,4.0,"",記録会,"",67,288,d,2012-11-03,,,true
man_LJ,5.5,0.6,記録会,"",60,288,m2,2012-11-03,,追参で6.10,true
man_LJ,"","",記録会,"",80,288,b3,2012-11-03,NM,,true
woman_TJ,11.33,1.0,記録会,"",85,288,b1,2012-11-03,,,true
man_TJ,14.1,2.9,決勝,"",79,289,b3,2012-11-10,,,false
woman_TJ,11.14,2.3,決勝,"",85,289,b2,2012-11-10,,,false
man_PJ,4.0,"",記録会,"",67,298,d,2013-03-20,,,true
man_TJ,13.58,-0.4,記録会,"",79,300,b4,2013-04-01,,,true
man_PJ,3.8,"",記録会,"",67,300,d,2013-04-01,,,true
woman_TJ,11.0,1.4,記録会,"",85,300,b2,2013-04-01,,,true
man_TJ,13.8,0.5,記録会,"",79,269,b4,2012-04-07,,,true
woman_TJ,11.22,0.7,記録会,"",85,269,b3,2012-04-07,,,true
man_TJ,14.04,"",記録会,"",79,301,b4,2013-04-27,,,true
woman_TJ,11.65,"",記録会,"",85,301,b2,2013-04-27,PB,関カレ参加標準記録突破！！　　電通大記録,true
man_TJ,13.56,-1.0,記録会,"",79,304,b4,2013-05-05,,,true
man_TJ,14.08,0.1,決勝,"",79,306,b4,2013-05-18,,,true
woman_TJ,11.87,1.1,決勝,"",85,306,b2,2013-05-18,PB,個人選手権参加標準記録突破,true
man_HJ,"","",決勝,"",79,307,b4,2013-06-01,,,true
man_PJ,4.0,"",決勝,"",67,307,d,2013-06-01,,,true
man_LJ,6.26,1.8,決勝,"",79,307,b4,2013-06-01,,,true
man_TJ,13.98,-1.3,決勝,"",79,307,b4,2013-06-01,,,true
woman_LJ,5.21,1.7,決勝,3,85,307,b2,2013-06-01,,,true
woman_TJ,11.63,1.2,決勝,"",85,309,b2,2013-06-22,,,true
man_LJ,5.12,-1.2,決勝,"",80,310,b4,2013-07-06,,,true
man_LJ,6.21,-2.0,決勝,"",79,310,b4,2013-07-06,,,true
man_TJ,13.47,0.6,決勝,"",79,310,b4,2013-07-06,,,true
woman_LJ,5.25,"",決勝,"",85,310,b2,2013-07-06,大会記録,,true
woman_TJ,11.13,-0.5,記録会,"",85,313,b2,2013-08-11,,,true
woman_TJ,11.93,"",決勝,"",85,316,b2,2013-09-15,PB,電通大記録,true
man_PJ,3.8,"",決勝,"",67,317,d,2013-09-22,,,true
man_LJ,5.71,0.2,決勝,"",80,317,b4,2013-09-22,,,true
man_LJ,5.91,"",決勝,"",79,317,b4,2013-09-22,,,true
man_TJ,13.78,1.9,決勝,5,79,317,b4,2013-09-22,,,true
woman_LJ,5.26,1.7,決勝,"",85,317,b2,2013-09-22,PBタイ,電通大記録タイ,true
woman_SP,6.91,"",決勝,"",72,317,b4,2013-09-22,PB,電通大記録,true
woman_SP,4.38,"",決勝,"",84,317,b2,2013-09-22,PB,五傑更新,true
woman_JT,"","",決勝,"",72,317,b4,2013-09-22,,,true
woman_JT,8.69,"",決勝,"",84,317,b2,2013-09-22,,,true
man_PJ,4.2,"",決勝,"",67,318,d,2013-10-14,電通大記録,,true
man_LJ,"","",決勝,"",79,318,b4,2013-10-14,,,true
man_TJ,13.77,1.2,決勝,"",79,318,b4,2013-10-14,,,true
woman_LJ,"","",決勝,"",85,318,b2,2013-10-14,,,true
woman_TJ,12.23,0.6,決勝,4,85,318,b2,2013-10-14,PB ,電通大記録　全カレ参加標準記録突破,true
man_LJ,"","",記録会,"",79,319,b4,2013-10-20,,,true
man_LJ,"","",記録会,"",80,319,b4,2013-10-20,,,true
man_SP,"","",記録会,"",79,319,b4,2013-10-20,,,true
man_SP,6.28,"",記録会,"",80,319,b4,2013-10-20,,,true
woman_LJ,5.18,1.7,記録会,"",85,319,b2,2013-10-20,,,true
woman_SP,5.18,"",記録会,"",85,319,b2,2013-10-20,,,true
woman_SP,6.69,"",記録会,"",72,319,b4,2013-10-20,,,true
man_PJ,"","",記録会,"",67,321,d,2013-11-02,,,true
man_HJ,1.45,"",記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_LJ,5.67,0.6,記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_SP,6.9,"",記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_PJ,"","",記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_DT,17.22,"",記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_JT,27.8,"",記録会,"",80,321,b4,2013-11-02,十種競技,,true
man_PJ,"","",記録会,"",67,331,d,2014-03-27,NM,,true
woman_TJ,11.82,"",記録会,2,85,331,b2,2014-03-27,,,true
woman_TJ,12.05,0.1,記録会,2,85,333,b3,2014-04-19,,,true
woman_LJ,3.55,0.6,記録会,"",92,335,b2,2014-04-29,,,true
woman_LJ,3.22,"",記録会,"",72,335,b4,2014-04-29,,,true
woman_SP,6.53,"",記録会,"",72,335,b4,2014-04-29,,,true
woman_TJ,12.18,0.2,記録会,1,85,336,b3,2014-05-03,,,true
woman_TJ,12.53,1.1,決勝,"",85,338,b3,2014-05-17,PB,日本選手権標準記録突破!!,true
woman_TJ,12.27,0.2,決勝,"",85,339,b3,2014-06-06,,,true
man_PJ,"","",決勝,"",67,340,d,2014-06-07,悪天候のため競技中止,,true
man_SP,7.33,"",決勝,"",127,340,m1,2014-06-07,,,true
woman_LJ,"","",決勝,"",85,340,b3,2014-06-07,DNS,,true
woman_SP,6.2,"",決勝,"",72,340,b4,2014-06-07,,,true
woman_DT,14.57,"",決勝,"",72,340,b4,2014-06-07,,,true
